date,Rockbound 2050,Vanguard 2050,S&P 500
2025-01-01,10000.0,10000.0,10000.0
2025-01-02,10000.0,9983.948268296597,9975.429048638473
2025-01-03,10000.0,10074.2373456565,10100.156128798148
2025-01-04,10000.0,10074.2373456565,10100.156128798148
2025-01-05,10000.0,10122.391775378012,10158.339340853678
2025-01-06,10000.0,10122.391775378012,10158.339340853678
2025-01-07,10000.0,10048.154429721511,10043.508074381289
2025-01-08,10000.0,10048.154429721511,10058.181104769823
2025-01-09,10000.0,9899.678973019818,9904.620034260253
2025-01-10,10045.6540535609,9899.678973019818,9904.620034260253
2025-01-11,10045.6540535609,9899.678973019818,9904.620034260253
2025-01-12,10008.300737011072,9887.640174242266,9919.97687886121
2025-01-13,10008.300737011072,9887.640174242266,9919.97687886121
2025-01-14,9987.549710160392,9925.7626543435,9933.62682203825
2025-01-15,9975.09819680528,10072.23126188792,10114.319196045219
2025-01-16,9987.549710160392,10084.269295276777,10094.866841669724
2025-01-17,10012.451513355107,10154.494473396122,10196.218855107461
2025-01-18,10012.451513355107,10154.494473396122,10196.218855107461
2025-01-19,10012.451513355107,10266.85353376516,10289.54948549566
2025-01-20,10012.451513355107,10266.85353376516,10289.54948549566
2025-01-21,10054.051244377462,10266.85353376516,10289.54948549566
2025-01-22,10087.253784583254,10290.931131320262,10347.392370909261
2025-01-23,10083.10402783547,10335.071862727229,10403.870788826584
2025-01-24,10058.20100112525,10341.091644810354,10373.498479909455
2025-01-25,10058.20100112525,10341.091644810354,10373.498479909455
2025-01-26,9983.495183702595,10240.770617830172,10226.760800524125
2025-01-27,9983.495183702595,10240.770617830172,10226.760800524125
2025-01-28,10033.29899401128,10298.956997171965,10314.633560927217
2025-01-29,10070.652514480356,10272.873315848281,10268.393390624815
2025-01-30,10074.803290824393,10349.117510662054,10323.50523376015
2025-01-31,10076.305156104367,10290.931131320262,10268.564080767206
2025-02-01,10076.305156104367,10290.931131320262,10268.564080767206
2025-02-02,10098.552338496003,10208.66791981206,10199.460914170044
2025-02-03,10098.552338496003,10208.66791981206,10199.460914170044
2025-02-04,10103.51063507204,10296.95014801469,10267.882373840495
2025-02-05,10113.426412547115,10351.123594430632,10309.512856655474
2025-02-06,10150.48812456872,10381.220208680164,10345.345142843416
2025-02-07,10198.537821484557,10306.98209763497,10250.646884030379
2025-02-08,10198.537821484557,10306.98209763497,10250.646884030379
2025-02-09,10246.030207088765,10365.16847697676,10320.263174697568
2025-02-10,10246.030207088765,10365.16847697676,10320.263174697568
2025-02-11,10221.70590321148,10367.174560745338,10328.112813961863
2025-02-12,10231.068651679185,10349.117510662052,10294.839826266934
2025-02-13,10251.722001208875,10457.463638105237,10403.529408541795
2025-02-14,10222.49099232593,10463.48342018836,10403.016284471769
2025-02-15,10222.49099232593,10463.48342018836,10403.016284471769
2025-02-16,10222.49099232593,10501.605134900898,10433.558229888433
2025-02-17,10222.49099232593,10501.605134900898,10433.558229888433
2025-02-18,10296.806304383868,10501.605134900898,10433.558229888433
2025-02-19,10283.946544689246,10485.553403197497,10458.12918124996
2025-02-20,10239.158332265992,10473.515369808638,10414.618999582965
2025-02-21,10144.56855264581,10349.117510662047,10236.485924069015
2025-02-22,10144.56855264581,10349.117510662047,10236.485924069015
2025-02-23,10068.358830750678,10302.969164709113,10189.906480767539
2025-02-24,10068.358830750678,10302.969164709113,10189.906480767539
2025-02-25,10038.35619142382,10300.963080940535,10139.229420405816
2025-02-26,10165.831008976758,10319.020896412516,10144.349071034703
2025-02-27,10230.532547969617,10184.590322256952,9982.424183547955
2025-02-28,10174.083417125461,10264.847449996574,10138.20633319432
2025-03-01,10174.083417125461,10264.847449996574,10138.20633319432
2025-03-02,10180.837426621447,10164.526423016394,9960.585328107543
2025-03-03,10180.837426621447,10164.526423016394,9960.585328107543
2025-03-04,10174.99289698271,10102.32711074875,9842.68374635782
2025-03-05,10169.038454867954,10250.802567450442,9948.471596212024
2025-03-06,10183.298120217296,10120.38492622073,9771.873678336742
2025-03-07,10173.563015198168,10176.565221793942,9826.644141187297
2025-03-08,10173.563015198168,10176.565221793942,9826.644141187297
2025-03-09,9919.075053275441,9945.82655358405,9564.906612472894
2025-03-10,9919.075053275441,9945.82655358405,9564.906612472894
2025-03-11,9881.654443372947,9907.70483887151,9485.394508118421
2025-03-12,9948.646811225983,9953.85241943575,9535.728080909654
2025-03-13,9914.767666947013,9855.537476224148,9408.613446042209
2025-03-14,10146.763539458248,10032.102698018101,9602.954709583364
2025-03-15,10146.763539458248,10032.102698018101,9602.954709583364
2025-03-16,10251.922045993626,10120.384926220731,9677.005783024168
2025-03-17,10251.922045993626,10120.384926220731,9677.005783024168
2025-03-18,10246.499221364935,10064.205396036212,9572.413817809555
2025-03-19,10400.297771046364,10138.44274169271,9676.664402739387
2025-03-20,10334.703473574791,10102.32711074875,9648.682809458593
2025-03-21,10268.17706120916,10082.263211508194,9651.865864521336
2025-03-22,10268.17706120916,10082.263211508194,9651.865864521336
2025-03-23,10354.743026160459,10184.590322256952,9824.715974763987
2025-03-24,10354.743026160459,10184.590322256952,9824.715974763987
2025-03-25,10431.807373634456,10198.635970191775,9848.333379342404
2025-03-26,10262.406146419858,10100.321026980173,9730.76053416321
2025-03-27,10252.693880356788,10088.28222820262,9704.918889519435
2025-03-28,10112.960457059718,9945.826553584051,9509.478676481278
2025-03-29,10112.960457059718,9945.826553584051,9509.478676481278
